Name,Center_X,Center_Y
Influenza_1,125.42618025751072,239.19871244635192
Influenza_2,45.82571912013536,256.0236886632826
Influenza_3,42.7030985915493,196.6343661971831
Influenza_4,71.59088838268792,235.8633257403189
Influenza_5,27.504511894995897,171.49794913863823
Influenza_6,17.275967413441954,43.16802443991853
Influenza_7,81.23809523809524,117.26278659611992
Influenza_8,159.0180299032542,208.03034300791558
Influenza_9,131.03308663474095,204.11797997387896
Influenza_10,11.332994923857868,51.69035532994924
Covid19_1,-37.56268509378085,-32.3030602171767
Covid19_2,17.638111888111887,-32.47552447552447
Covid19_3,-1.7933609958506225,19.0149377593361
Covid19_4,-44.27490542244641,-93.45439260193359
Covid19_5,-25.54954954954955,-43.22372372372372
Covid19_6,-19.436288901937758,-27.799177921315327
Covid19_7,-33.09097472924188,-46.374729241877255
Covid19_8,-64.18050888142103,-93.23283725396064
Covid19_9,-46.519887693027606,-81.52316331305569
Covid19_10,-10.415601023017903,-37.813299232736576
